BATTERY CONNECTED DIRECTLY TO MOTORS, WITHOUT PID, NO LOAD
(200 = 1 turn)


LEFT, RIGHT
---------
126, 121
245, 244
369, 363
488, 482
611, 604
730, 723
852, 843
974, 966
1097, 1085
1215, 1200
1341, 1315
1468, 1436
1590, 1552
1711, 1674
1831, 1794
1953, 1914
2079, 2033
2205, 2153
2325, 2273
2447, 2388
2570, 2507
2696, 2626
2819, 2747
2946, 2868
3068, 2989
3182, 3106
3301, 3228
3426, 3345
3550, 3460
3673, 3577
3795, 3698
3917, 3817
4041, 3934
4166, 4054
4281, 4170
4400, 4285
4522, 4404
4646, 4524
4765, 4644
4889, 4760
5012, 4880
5136, 4994
5259, 5113
5382, 5231
5503, 5350
5627, 5468
5749, 5586
5872, 5704
5997, 5824
6122, 5944
6245, 6056
6368, 6175
6491, 6293
6613, 6410
6736, 6527
6859, 6644
6983, 6761
7105, 6879
7228, 6995
7348, 7115
7474, 7232
7599, 7349
7721, 7468
7842, 7585
7960, 7700
8082, 7819
8207, 7933
8331, 8053
8452, 8171
8570, 8292
8688, 8408
8808, 8525
8930, 8642
9053, 8763
9173, 8882
9295, 9000
9413, 9116
9538, 9234
9653, 9352
9776, 9470
9901, 9589
10023, 9707
10142, 9823
10265, 9943
10387, 10059
10509, 10176
10631, 10294
10752, 10412
10877, 10525
10999, 10642
11121, 10760
11244, 10876
11368, 10994
11491, 11109
11612, 11228
11733, 11347
11854, 11469
11977, 11581
12100, 11704
12221, 11821
12347, 11936
12468, 12057
12591, 12172
12715, 12290
12837, 12404
12960, 12523
13083, 12637
13206, 12756
13326, 12871
13447, 12988
13562, 13105
13687, 13225
13811, 13341
13931, 13461
14055, 13580
14176, 13698
14297, 13818
14418, 13935
14547, 14055
14674, 14171
14792, 14286
14916, 14401
15044, 14520
15166, 14639
15292, 14757
15414, 14867
15539, 14988
15656, 15107
15782, 15224
15902, 15342
16025, 15462
16152, 15579
16276, 15702
16401, 15822
16526, 15939
16645, 16055
16763, 16174
16890, 16291
17010, 16409
17133, 16524
17254, 16642
17380, 16759
17503, 16879
17623, 16996
17747, 17109
17865, 17230
17987, 17344
18105, 17465
18227, 17580
18346, 17702
18470, 17817
18592, 17938
18717, 18057
18841, 18176
18967, 18294
19085, 18412
19206, 18527
19326, 18643
19447, 18761
19568, 18878
19692, 18997
19819, 19111
19943, 19228
20068, 19350
20190, 19463
20312, 19583
20433, 19702
20559, 19818
20681, 19938
20807, 20054
20928, 20179
21049, 20293
21170, 20410
21295, 20526
21416, 20644
21538, 20754
21538, 20754
21538, 20754
21538, 20754
