MOTOR CONTROLLER (BOTH MOTORS SET TO MAX), WITHOUT PID, NO LOAD
(200 = 1 turn)

LEFT, RIGHT
---------
167, 169
334, 334
499, 503
664, 663
832, 833
999, 999
1166, 1163
1330, 1327
1496, 1496
1662, 1666
1824, 1833
1989, 2001
2156, 2169
2323, 2335
2488, 2501
2650, 2670
2817, 2833
2984, 3001
3147, 3169
3312, 3327
3478, 3494
3641, 3661
3807, 3827
3969, 4001
4132, 4166
4294, 4332
4460, 4496
4626, 4660
4789, 4824
4947, 4986
5116, 5147
5281, 5309
5442, 5471
5605, 5639
5767, 5800
5931, 5963
6088, 6134
6253, 6301
6421, 6461
6585, 6625
6755, 6789
6921, 6948
7085, 7114
7244, 7275
7404, 7440
7566, 7599
7734, 7763
7902, 7922
8067, 8083
8232, 8248
8396, 8410
8562, 8576
8727, 8735
8893, 8902
9060, 9067
9225, 9234
9389, 9395
9547, 9560
9713, 9727
9878, 9891
10037, 10054
10200, 10217
10363, 10384
10533, 10553
10701, 10724
10866, 10888
11027, 11054
11190, 11223
11353, 11386
11514, 11550
11681, 11715
11850, 11886
12018, 12049
12185, 12220
12346, 12390
12510, 12556
12675, 12724
12839, 12894
12994, 13059
13153, 13238
13379, 13314
13477, 13551
13636, 13718
13802, 13886
13961, 14054
14128, 14220
14290, 14388
14449, 14553
14611, 14720
14775, 14887
14943, 15047
15105, 15208
15275, 15371
15438, 15537
15604, 15699
15772, 15865
15930, 16025
16090, 16194
16257, 16358
16422, 16526
16582, 16697
16746, 16859
16909, 17028
17077, 17194
17235, 17362
17397, 17531
17557, 17695
17728, 17864
17889, 18027
18047, 18193
18210, 18359
18374, 18518
18534, 18682
18699, 18850
18865, 19018
19026, 19184
19194, 19350
19357, 19512
19521, 19677
19685, 19850
19847, 20014
20006, 20180
20171, 20346
20333, 20507
20503, 20669
20662, 20839
20829, 21005
20991, 21167
21154, 21328
21321, 21487
21489, 21652
21650, 21814
21814, 21984
21977, 22149
22144, 22315
22308, 22478
22471, 22650
22635, 22814
